phase,scope,category,dso,symbol,metadata_join,pgcm_function_ids,samples,period
command,main_thread,runtime_helper_source_bound,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,js_getenv_value,no_pgcm_function_at_start,,1,5233724
command,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::gc::barrier_store::barrier_child_prologue,no_pgcm_function_at_start,,1,5233717
startup,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::object::object_ops::define_property::js_object_define_property::{closure#62},no_pgcm_function_at_start,,1,5232931
command,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::object::shapes::shape_live_inline_slot_count_by_id,no_pgcm_function_at_start,,1,5232611
command,main_thread,compiled_function_prefix,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_fn_cli_2_1_112_js__h46,exact_start_and_symbol,101:54,1,5232541
startup,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::object::object_ops::descriptor_helpers::desc_field_index,no_pgcm_function_at_start,,1,5232396
startup,main_thread,other_dso,/usr/lib/x86_64-linux-gnu/libc.so.6,__memset_avx512_unaligned_erms,not_application_dso,,1,5231089
between_phases,foreign_pid,other_dso,/usr/bin/node,str_copy,not_application_dso,,1,5229812
between_phases,main_thread,compiled_function_prefix,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_fn_cli_2_1_112_js__US_,exact_start_and_symbol,58:63,1,5229812
command,main_thread,other_dso,/usr/lib/x86_64-linux-gnu/libc.so.6,__memset_avx512_unaligned_erms,not_application_dso,,1,5229417
