# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'cycles:u'
# Event count (approx.): 23751808510
#
# Overhead,     Samples,      Period,Command        ,Shared Object       ,Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,IPC   [IPC Coverage]
 0.00%  , 1          , 6952       ,sh             ,ld-linux-x86-64.so.2,[.] _dl_map_object_deps                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,-      -            
 0.00%  , 1          , 6927       ,DelayedTaskSche,libc.so.6           ,[.] pthread_mutex_lock@@GLIBC_2.2.5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,-      -            
 0.00%  , 1          , 6650       ,libuv-worker   ,libc.so.6           ,[.] start_thread                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,-      -            
 0.00%  , 2          , 6590       ,claude         ,cc-diagnostic       ,[.] mi_bin                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,-      -            
 0.00%  , 1          , 5836       ,claude         ,cc-diagnostic       ,[.] <std::thread::lifecycle::spawn_unchecked<perry_runtime::child_process::reactor::timeout::cp_spawn_waiter::{closure#1}. ()>::{closure#1} as core::ops::function::FnOnce<()>>::call_once::{shim:vtable#0}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,-      -            
 0.00%  , 1          , 5779       ,grep           ,grep                ,[.] 0x000000000000c986                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,-      -            
 0.00%  , 1          , 5683       ,node-V8Worker  ,node                ,[.] v8::internal::ArrayBufferSweeper::SweepingState::SweepingJob::Run(v8::JobDelegate*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,-      -            
 0.00%  , 1          , 5659       ,libuv-worker   ,libc.so.6           ,[.] __GI___pthread_enable_asynccancel                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,-      -            
 0.00%  , 1          , 5551       ,claude         ,cc-diagnostic       ,[.] <std::thread::lifecycle::spawn_unchecked<perry_runtime::child_process::reactor::cp_spawn_reader<alloc::boxed::Box<dyn alloc::io::read::Read + core::marker::Send>>::{closure#0}. ()>::{closure#1} as core::ops::function::FnOnce<()>>::call_once::{shim:vtable#0}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,-      -            
 0.00%  , 2          , 5532       ,claude         ,libc.so.6           ,[.] __printf_buffer_write                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,-      -            
 0.00%  , 13         , 5137       ,node-V8Worker  ,node                ,[.] node::(anonymous namespace)::PlatformWorkerThread(void*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,-      -            
 0.00%  , 1          , 4836       ,libuv-worker   ,libc.so.6           ,[.] arena_get2.part.0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,-      -            
 0.00%  , 1          , 4816       ,claude         ,cc-diagnostic       ,[.] __rustc::__rust_dealloc                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,-      -            
 0.00%  , 8          , 4758       ,node-V8Worker  ,node                ,[.] v8::internal::compiler::LiveRangeConnector::ResolveControlFlow(v8::internal::Zone*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,-      -            
 0.00%  , 5          , 4746       ,claude         ,libc.so.6           ,[.] __printf_buffer                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,-      -            
 0.00%  , 1          , 4742       ,node-V8Worker  ,node                ,[.] v8::internal::MainAllocator::MainAllocator(v8::internal::LocalHeap*. v8::internal::SpaceWithLinearArea*. v8::internal::MainAllocator::IsNewGeneration. v8::internal::LinearAllocationArea*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,-      -            
 0.00%  , 1          , 4607       ,node-V8Worker  ,node                ,[.] v8::platform::tracing::TracingController::GetCategoryGroupEnabled(char const*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,-      -            
 0.00%  , 1          , 4584       ,sh             ,libc.so.6           ,[.] _int_malloc                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,-      -            
 0.00%  , 1          , 4311       ,node-V8Worker  ,node                ,[.] v8::internal::Handle<v8::internal::Map> v8::internal::compiler::JSHeapBroker::CanonicalPersistentHandle<v8::internal::Map>(v8::internal::Tagged<v8::internal::Map>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,-      -            
 0.00%  , 1          , 4163       ,node-MainThread,libc.so.6           ,[.] __getrlimit                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,-      -            
 0.00%  , 1          , 3989       ,node-V8Worker  ,node                ,[.] v8::internal::baseline::ConcurrentBaselineCompiler::JobDispatcher::Run(v8::JobDelegate*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,-      -            
 0.00%  , 6          , 3903       ,node-V8Worker  ,libc.so.6           ,[.] __GI___futex_abstimed_wait_cancelable64                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,-      -            
 0.00%  , 1          , 3811       ,libuv-worker   ,[unknown]           ,[k] 0xffffffff91400b90                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,-      -            
