# runtime_symbol	result_kind	provider_source	provider_return
js_ext_tls_connect	NR_GCPTR	crates/perry-ext-net/src/tls.rs	i64
js_fastify_app_server	NR_GCPTR	crates/perry-ext-fastify/src/app.rs	Handle
js_fastify_create_with_opts	NR_GCPTR	crates/perry-ext-fastify/src/app.rs	Handle
js_fastify_reply_header	NR_GCPTR	crates/perry-ext-fastify/src/context.rs	Handle
js_fastify_reply_status	NR_GCPTR	crates/perry-ext-fastify/src/context.rs	Handle
js_fastify_reply_type	NR_GCPTR	crates/perry-ext-fastify/src/context.rs	Handle
js_fastify_req_headers	NR_JS_VALUE	crates/perry-ext-fastify/src/context.rs	i64
js_http_agent_create_connection	NR_GCPTR	crates/perry-ext-http/src/agent.rs	i64
js_http_agent_create_socket	NR_GCPTR	crates/perry-ext-http/src/agent.rs	i64
js_http_agent_destroy	NR_GCPTR	crates/perry-ext-http/src/agent.rs	Handle
