stage,category,callee,callsites,statepoints,leaf_callsites,gc_live_operands,gc_relocate_intrinsics,relocates_attributed,relocates_unattributed
post-opt,runtime,js_child_process_exec_sync,2,2,0,2,0,4,0
post-opt,runtime,js_child_process_spawn_streams,22,22,0,54,0,87,0
post-opt,runtime,js_child_process_spawn_sync,27,27,0,74,0,130,0
post-opt,runtime,js_child_process_validate_args,13,13,0,34,0,41,0
post-opt,runtime,js_child_process_validate_command,66,66,0,238,0,336,0
post-opt,runtime,js_child_process_validate_options,45,45,0,180,0,267,0
post-opt,runtime,js_child_process_validate_spawn_args,49,49,0,194,0,283,0
post-opt,runtime,js_class_capture_value_for_receiver,585,585,0,2212,0,2215,0
post-opt,runtime,js_class_capture_value_or,636,636,0,4659,0,4801,0
post-opt,runtime,js_class_computed_field_key,24,24,0,91,0,91,0
post-opt,runtime,js_class_field_add,767,767,0,4920,0,4917,0
post-opt,runtime,js_class_field_get_ic,30347,30206,0,96383,0,106720,0
post-opt,runtime,js_class_field_set_fallback,1,1,0,0,0,0,0
post-opt,runtime,js_class_field_set_ic,65304,63164,0,544223,0,544967,0
post-opt,runtime,js_class_lexical_binding_get,8,8,0,22,0,22,0
post-opt,runtime,js_class_lexical_binding_set,1,1,0,0,0,0,0
post-opt,runtime,js_class_method_snapshot_bind,140,140,0,720,0,788,0
post-opt,runtime,js_class_object_pin_parent,972,865,0,7437,0,7437,0
post-opt,runtime,js_class_object_refresh_capture_values,315,304,0,2338,0,2338,0
post-opt,runtime,js_class_register_capture_values,3062,3047,0,16274,0,16274,0
post-opt,runtime,js_class_register_static_field,52,52,0,418,0,418,0
post-opt,runtime,js_class_static_method_call,1,1,0,0,0,0,0
post-opt,runtime,js_clear_exception,16183,15928,0,30446,0,30436,0
post-opt,runtime,js_clear_immediate_value,4,4,0,1,0,1,0
post-opt,runtime,js_clear_interval_value,79,74,0,112,0,164,0
post-opt,runtime,js_clear_timeout_value,344,338,0,577,0,733,0
post-opt,runtime,js_closure_alloc,32429,31229,0,411902,0,422043,0
post-opt,runtime,js_closure_alloc_init,14859,14558,0,92573,0,95181,0
post-opt,runtime,js_closure_alloc_singleton,10127,8207,0,97517,0,98458,0
post-opt,runtime,js_closure_alloc_with_captures_singleton,364,364,0,0,0,0,0
post-opt,runtime,js_closure_get_capture_bits,277331,149470,120391,445475,0,855568,0
post-opt,runtime,js_closure_resolve_arrow_direct_call,247,247,0,789,0,789,0
post-opt,runtime,js_closure_set_box_capture_ptr,60229,4600,54413,16295,0,28624,0
post-opt,runtime,js_closure_set_capture_bits,70878,4506,66166,16241,0,27672,0
post-opt,runtime,js_closure_unbox_callee_checked,57252,56786,0,195262,0,215439,0
post-opt,runtime,js_closure_unbox_callee_checked_rebind,938,938,0,4312,0,4962,0
post-opt,runtime,js_console_debug_spread,1,1,0,0,0,0,0
post-opt,runtime,js_console_dir_with_options,4,4,0,17,0,22,0
post-opt,runtime,js_console_error_spread,103,103,0,156,0,289,0
post-opt,runtime,js_console_info_spread,2,2,0,3,0,6,0
post-opt,runtime,js_console_log_spread,48,48,0,97,0,183,0
post-opt,runtime,js_console_warn_spread,44,44,0,70,0,85,0
post-opt,runtime,js_create_native_module_namespace,57,56,0,171,0,254,0
post-opt,runtime,js_cron_timer_has_pending,2,2,0,0,0,0,0
post-opt,runtime,js_cron_timer_tick,1,1,0,0,0,0,0
post-opt,runtime,js_ctor_return_override,42489,41900,0,366577,0,389941,0
post-opt,runtime,js_data_view_get_direct,49,46,0,317,0,320,0
post-opt,runtime,js_data_view_new,42,41,0,72,0,75,0
post-opt,runtime,js_data_view_set_direct,70,70,0,128,0,128,0
post-opt,runtime,js_date_apply_setter,45,45,0,153,0,160,0
post-opt,runtime,js_date_get_date,14,14,0,72,0,81,0
post-opt,runtime,js_date_get_day,3,3,0,20,0,20,0
post-opt,runtime,js_date_get_full_year,9,9,0,39,0,45,0
post-opt,runtime,js_date_get_hours,12,12,0,83,0,114,0
post-opt,runtime,js_date_get_milliseconds,8,8,0,27,0,28,0
post-opt,runtime,js_date_get_minutes,14,14,0,73,0,76,0
post-opt,runtime,js_date_get_month,10,10,0,53,0,59,0
post-opt,runtime,js_date_get_seconds,9,9,0,34,0,37,0
post-opt,runtime,js_date_get_time,197,195,0,718,0,929,0
post-opt,runtime,js_date_get_timezone_offset,2,2,0,3,0,6,0
post-opt,runtime,js_date_get_utc_date,11,11,0,29,0,29,0
post-opt,runtime,js_date_get_utc_day,4,4,0,13,0,13,0
post-opt,runtime,js_date_get_utc_full_year,10,10,0,22,0,22,0
post-opt,runtime,js_date_get_utc_hours,8,8,0,24,0,24,0
post-opt,runtime,js_date_get_utc_milliseconds,2,2,0,0,0,0,0
post-opt,runtime,js_date_get_utc_minutes,8,8,0,26,0,26,0
post-opt,runtime,js_date_get_utc_month,8,8,0,20,0,20,0
post-opt,runtime,js_date_get_utc_seconds,8,8,0,21,0,21,0
post-opt,runtime,js_date_new,289,285,0,1177,0,1516,0
post-opt,runtime,js_date_new_from_value,202,200,0,865,0,1078,0
post-opt,runtime,js_date_new_local_components,5,5,0,10,0,11,0
post-opt,runtime,js_date_now,983,927,0,3604,0,4809,0
post-opt,runtime,js_date_parse,13,13,0,39,0,51,0
post-opt,runtime,js_date_to_iso_string_or_throw,173,172,0,770,0,1010,0
post-opt,runtime,js_date_to_locale_date_string,3,3,0,36,0,36,0
post-opt,runtime,js_date_to_time_string,1,1,0,5,0,5,0
post-opt,runtime,js_date_to_utc_string,3,3,0,10,0,10,0
post-opt,runtime,js_date_utc,7,7,0,14,0,14,0
post-opt,runtime,js_declared_map_get,3,3,0,20,0,30,0
post-opt,runtime,js_decode_uri,1,1,0,4,0,8,0
post-opt,runtime,js_decode_uri_component,29,29,0,134,0,151,0
post-opt,runtime,js_delete_result,394,394,0,957,0,1152,0
post-opt,runtime,js_derived_super_scope_pop,136,136,0,0,0,0,0
post-opt,runtime,js_derived_super_scope_push,136,136,0,876,0,876,0
post-opt,runtime,js_derived_this_check_current,2613,2613,0,10609,0,17064,0
post-opt,runtime,js_dom_exception_new,19,19,0,17,0,20,0
post-opt,runtime,js_dyn_index_get,49,49,0,387,0,392,0
post-opt,runtime,js_dyn_index_set_strict,15194,15191,0,149307,0,149716,0
post-opt,runtime,js_dynamic_add,2,2,0,1,0,2,0
post-opt,runtime,js_dynamic_bitand,1047,1041,0,5401,0,5493,0
post-opt,runtime,js_dynamic_bitnot,37,37,0,146,0,146,0
post-opt,runtime,js_dynamic_bitor,503,502,0,2589,0,2627,0
post-opt,runtime,js_dynamic_bitxor,247,243,0,1683,0,1695,0
post-opt,runtime,js_dynamic_div,976,971,0,4740,0,4981,0
post-opt,runtime,js_dynamic_mod,313,313,0,1173,0,1200,0
post-opt,runtime,js_dynamic_mul,1430,1427,0,16184,0,16571,0
post-opt,runtime,js_dynamic_neg,172,172,0,944,0,967,0
post-opt,runtime,js_dynamic_pos,186,186,0,625,0,629,0
post-opt,runtime,js_dynamic_pow,41,41,0,59,0,59,0
post-opt,runtime,js_dynamic_shl,350,344,0,2072,0,2072,0
post-opt,runtime,js_dynamic_shr,207,204,0,868,0,870,0
post-opt,runtime,js_dynamic_string_or_number_add,9996,9938,0,61414,0,64467,0
post-opt,runtime,js_dynamic_sub,3792,3730,0,20194,0,21538,0
post-opt,runtime,js_dynamic_ushr,535,526,0,3021,0,3027,0
post-opt,runtime,js_eh_try_push,16313,16046,0,82804,0,82782,0
post-opt,runtime,js_encode_uri,4,4,0,7,0,7,0
post-opt,runtime,js_encode_uri_component,51,51,0,150,0,182,0
