phase,symbol,linked_ip,symbol_offset,instruction,samples,period,phase_percent,focus_region
command,js_object_get_field_by_name,0x1188c043,4643,jne 1188c120 <js_object_get_field_by_name+0x1300>,1,5306716,0.028046824526796778,
command,js_object_get_field_by_name,0x1188c049,4649,"mov (%rax),%r15d",1,5248848,0.02774098309082834,
command,js_object_get_field_by_name,0x1188c098,4728,jne 1188c120 <js_object_get_field_by_name+0x1300>,1,5257008,0.027784109967815666,
command,js_object_get_field_by_name,0x1188c138,4888,"shr $0x2c,%rax",1,5221363,0.027595720564603268,
command,js_object_get_field_by_name,0x1188c151,4913,"bt %rax,%rcx",1,5217706,0.027576392747306375,
command,js_object_get_field_by_name,0x1188c186,4966,"lea (%r14,%rcx,1),%rax",1,5320408,0.02811918888950639,
command,js_object_get_field_by_name,0x1188c1d4,5044,"mov 0x4(%rax),%edx",1,5247333,0.02773297607874062,
command,js_object_get_field_by_name,0x1188c1e9,5065,"mov -0x50(%rbp),%rbx",1,5344658,0.028247353934474844,
command,js_object_get_field_by_name,0x1188c21f,5119,jne 1188c340 <js_object_get_field_by_name+0x1520>,2,10454841,0.05525547080012583,
command,js_object_get_field_by_name,0x1188c358,5432,"shr $0x2c,%rax",1,4994195,0.02639510213427774,
command,js_object_get_field_by_name,0x1188c3c1,5537,"test %al,%al",1,5188129,0.02742007367369681,
command,js_object_get_field_by_name,0x1188c3fb,5595,jne 1188da6f <js_object_get_field_by_name+0x2c4f>,1,5251709,0.02775610392355637,
command,js_object_get_field_by_name,0x1188cce0,7872,je 1188cd10 <js_object_get_field_by_name+0x1ef0>,1,5279725,0.027904172867879516,
command,js_object_get_field_by_name,0x1188cd35,7957,"and %rcx,%rax",1,5259198,0.027795684460536527,
command,js_object_get_field_by_name,0x1188cd81,8033,"lea -0x58(%rbp),%rdi",1,5232523,0.027654702911071225,
command,js_object_get_field_by_name,0x1188ce0b,8171,"mov %rax,%rcx",2,10199729,0.05390716395674469,
command,js_object_get_field_by_name,0x1188cece,8366,jne 1188d855 <js_object_get_field_by_name+0x2a35>,1,5227467,0.027627981159839863,
command,js_object_get_field_by_name,0x1188cf66,8518,"add $0x100000,%rdx",1,5344517,0.028246608727409254,
command,js_object_get_field_by_name,0x1188cf82,8546,jne 1188d35b <js_object_get_field_by_name+0x253b>,1,5254248,0.027769522935893482,
command,js_object_get_field_by_name,0x1188d368,9544,je 1188d394 <js_object_get_field_by_name+0x2574>,1,5249189,0.02774278532919264,
command,js_object_get_field_by_name,0x1188d394,9588,"test %r15,%r15",1,5231925,0.027651542387488088,
command,js_object_get_field_by_name,0x1188d538,10008,je 1188d561 <js_object_get_field_by_name+0x2741>,1,5018143,0.026521671061985146,
command,js_object_get_field_by_name,0x1188d587,10087,jne 1188d88f <js_object_get_field_by_name+0x2a6f>,1,5272938,0.02786830251075783,
command,js_object_get_field_by_name,0x1188d8b8,10904,sets %bl,1,5273333,0.02787039014757278,
command,js_object_get_field_by_name,0x1188d8c1,10913,"movabs $0xffffffffffffe,%rcx",1,5247056,0.02773151209039191,
command,js_object_get_field_by_name,0x1188d983,11107,"cmpq $0x0,-0x40(%rbp)",1,5237931,0.027683285037388313,
command,js_object_get_field_by_name,0x1188d9a7,11143,je 1188d9c5 <js_object_get_field_by_name+0x2ba5>,1,5170207,0.027325353099019505,
command,perry_runtime::buffer::header::is_registered_buffer,0x1150edd0,0,push %rbp,3,15735588,0.08316504509794174,
command,perry_runtime::buffer::header::is_registered_buffer,0x1150eddb,11,"lea 0x58e5f42(%rip),%rax        # 16df4d24 <_RNvNtNtCscI5nJwKNRh4_13perry_runtime6buffer6header27BUFFER_LIKE_EVER_REGISTERED>",1,5246318,0.027727611644899675,
command,perry_runtime::buffer::header::is_registered_buffer,0x1150ede2,18,"movzbl (%rax),%eax",5,26180848,0.13836987881370294,
command,perry_runtime::buffer::header::is_registered_buffer,0x1150ee07,55,"lea 0x3e408f2(%rip),%r15        # 1534f700 <_RNvNtCscI5nJwKNRh4_13perry_runtime8hot_diag11BUFFER_SINK>",1,5243333,0.027711835452766443,
command,perry_runtime::buffer::header::is_registered_buffer,0x1150ee27,87,jne 1150eeb5 <_RNvNtNtCscI5nJwKNRh4_13perry_runtime6buffer6header20is_registered_buffer.llvm.4573768808118376784+0xe5>,1,5255875,0.02777812188550848,
command,perry_runtime::buffer::header::is_registered_buffer,0x1150ee36,102,je 1150eecf <_RNvNtNtCscI5nJwKNRh4_13perry_runtime6buffer6header20is_registered_buffer.llvm.4573768808118376784+0xff>,2,10465865,0.05531373436531067,
command,perry_runtime::buffer::header::is_registered_buffer,0x1150ee4d,125,"imul %rcx,%rax",1,5060598,0.026746052380918577,
command,perry_runtime::buffer::header::is_registered_buffer,0x1150ee54,132,"shr $0x36,%rcx",2,10543097,0.055721917571620094,
command,perry_runtime::buffer::header::is_registered_buffer,0x1150ee66,150,"mov (%rdx,%rsi,8),%rsi",1,5315254,0.02809194919293866,
command,perry_runtime::buffer::header::is_registered_buffer,0x1150ee6a,154,"bt %rcx,%rsi",2,10539612,0.05570349880124009,
command,perry_runtime::buffer::header::is_registered_buffer,0x1150ee70,160,"mov %rax,%rcx",1,5163931,0.02729218345686602,
command,perry_runtime::buffer::header::is_registered_buffer,0x1150ee7e,174,"and $0xf,%esi",1,5314528,0.028088112169324348,
command,perry_runtime::buffer::header::is_registered_buffer,0x1150ee85,181,"bt %rcx,%rsi",1,5299350,0.028007894064065328,
command,perry_runtime::buffer::header::is_registered_buffer,0x1150ee89,185,jae 1150ee05 <_RNvNtNtCscI5nJwKNRh4_13perry_runtime6buffer6header20is_registered_buffer.llvm.4573768808118376784+0x35>,2,10465839,0.055313596951241835,
command,perry_runtime::buffer::header::is_registered_buffer,0x1150ee8f,191,"mov %rax,%rcx",2,10584241,0.05593937005039049,
command,perry_runtime::buffer::header::is_registered_buffer,0x1150ee9a,202,"and $0xf,%eax",1,5198979,0.02747741762165177,
command,perry_runtime::buffer::header::is_registered_buffer,0x1150ef93,451,"test %eax,%eax",1,5142853,0.027180782928295087,
command,perry_runtime::buffer::header::is_registered_buffer,0x1150efeb,539,pop %rbx,4,21161782,0.11184332955227425,
command,perry_runtime::buffer::header::is_registered_buffer_slow,0x1150f931,1,"mov %rsp,%rbp",3,15554913,0.08221014944847059,
command,perry_runtime::buffer::header::is_registered_buffer_slow,0x1150f941,17,"mov 0x3e42141(%rip),%eax        # 15351a88 <_RNvNvNtNtCscI5nJwKNRh4_13perry_runtime6buffer6header27buffer_range_filter_enabled6CACHED>",3,12863133,0.06798367090227724,
command,perry_runtime::buffer::header::is_registered_buffer_slow,0x1150f980,80,je 1150fbf5 <_RNvNtNtCscI5nJwKNRh4_13perry_runtime6buffer6header25is_registered_buffer_slow+0x2c5>,1,5315465,0.0280930643609588,
command,perry_runtime::buffer::header::is_registered_buffer_slow,0x1150f986,86,"mov 0x1e8(%rax,%r15,8),%rax",3,15645964,0.08269136823236431,
command,perry_runtime::buffer::header::is_registered_buffer_slow,0x1150f9a9,121,jb 1150fa7c <_RNvNtNtCscI5nJwKNRh4_13perry_runtime6buffer6header25is_registered_buffer_slow+0x14c>,2,10510617,0.05555025568870977,
command,perry_runtime::buffer::header::is_registered_buffer_slow,0x1150f9af,127,"cmp 0x8(%rax),%rbx",1,5241236,0.02770075247959948,
command,perry_runtime::buffer::header::is_registered_buffer_slow,0x1150f9bd,141,"cmp %r15,%rcx",3,15456632,0.08169071898312853,
command,perry_runtime::buffer::header::is_registered_buffer_slow,0x1150f9d3,163,je 1150fa78 <_RNvNtNtCscI5nJwKNRh4_13perry_runtime6buffer6header25is_registered_buffer_slow+0x148>,1,4332423,0.022897533551231773,
command,perry_runtime::buffer::header::is_registered_buffer_slow,0x1150f9ea,186,"shr $0x20,%rdx",2,10078320,0.05326549839201994,
command,perry_runtime::buffer::header::is_registered_buffer_slow,0x1150fa0b,219,"pshufd $0x44,%xmm0,%xmm0",2,10478677,0.05538144779030596,
command,perry_runtime::buffer::header::is_registered_buffer_slow,0x1150fa1f,239,"movdqa %xmm2,%xmm3",7,36980473,0.19544758701029902,
command,perry_runtime::buffer::header::is_registered_buffer_slow,0x1150fa27,247,"pmovmskb %xmm3,%r9d",5,25775154,0.13622572253521087,
command,perry_runtime::buffer::header::is_registered_buffer_slow,0x1150fa2f,255,je 1150fa5d <_RNvNtNtCscI5nJwKNRh4_13perry_runtime6buffer6header25is_registered_buffer_slow+0x12d>,4,21016386,0.11107488893873883,
command,perry_runtime::buffer::header::is_registered_buffer_slow,0x1150fa36,262,"add %rdx,%r10",1,5264708,0.027824805672815957,
command,perry_runtime::buffer::header::is_registered_buffer_slow,0x1150fa3c,268,"shl $0x3,%r10",1,5241557,0.02770244901483391,
command,perry_runtime::buffer::header::is_registered_buffer_slow,0x1150fa40,272,"mov %rsi,%r11",1,5242130,0.027705477409504707,
command,perry_runtime::buffer::header::is_registered_buffer_slow,0x1150fa4a,282,je 1150fb11 <_RNvNtNtCscI5nJwKNRh4_13perry_runtime6buffer6header25is_registered_buffer_slow+0x1e1>,1,5263690,0.027819425383505528,
command,perry_runtime::buffer::header::is_registered_buffer_slow,0x1150fa61,305,"pmovmskb %xmm2,%r9d",1,5233618,0.027660490157431657,
command,perry_runtime::buffer::header::is_registered_buffer_slow,0x1150fa69,313,jne 1150fa78 <_RNvNtNtCscI5nJwKNRh4_13perry_runtime6buffer6header25is_registered_buffer_slow+0x148>,1,5325797,0.0281476705978501,
command,perry_runtime::buffer::header::is_registered_buffer_slow,0x1150fa6e,318,"add $0x10,%rdx",3,15697784,0.08296524504185979,
command,perry_runtime::buffer::header::is_registered_buffer_slow,0x1150fa7c,332,"lea 0x58e529f(%rip),%rax        # 16df4d22 <_RNvNtNtCscI5nJwKNRh4_13perry_runtime6buffer6header25EXTERNAL_BUFFERS_NONEMPTY>",1,5232115,0.02765254656722186,
command,perry_runtime::buffer::header::is_registered_buffer_slow,0x1150fd31,1025,pop %r13,1,4729435,0.024995804101046883,
command,perry_runtime::buffer::header::is_registered_buffer_slow,0x1150fd35,1029,pop %r15,1,5314420,0.028087541372423044,
command,perry_runtime::buffer::header::is_registered_buffer_slow,0x1150fd37,1031,pop %rbp,1,5091402,0.026908856341545724,
command,perry_runtime::closure::dynamic_props::is_closure_ptr,0x115933c0,0,push %rbp,5,26338780,0.13920457414904142,
command,perry_runtime::closure::dynamic_props::is_closure_ptr,0x115933c1,1,"mov %rsp,%rbp",6,29470572,0.15575658497427228,
command,perry_runtime::closure::dynamic_props::is_closure_ptr,0x115933d7,23,"shr $0x3,%rcx",1,5266371,0.027833594888064722,
command,perry_runtime::closure::dynamic_props::is_closure_ptr,0x115933ec,44,"shr $0x36,%rdx",2,9970945,0.05269800471352559,
